CLASS, THREADS, SECONDS, ENERGY
A, 1, 2.46461, 126.89145
A, 2, 2.78462, 88.42353
A, 4, 2.8512, 49.03532
A, 8, 2.97673, 29.70968
A, 16, 3.68237, 24.4733
A, 32, 4.40192, 16.61376
A, 1, 2.43692, 137.5782
A, 2, 2.7852, 97.58732
A, 4, 2.85398, 55.37062
A, 8, 2.97609, 34.32163
A, 16, 3.69983, 28.6306
A, 32, 4.43503, 20.24712
A, 1, 2.43933, 129.25381
A, 2, 2.78708, 88.71363
A, 4, 2.86985, 48.6989
A, 8, 2.98044, 29.31272
A, 16, 3.17144, 20.47006
A, 32, 4.37673, 16.39043
A, 1, 2.43241, 128.47092
A, 2, 2.79068, 88.62838
A, 4, 2.85341, 48.63755
A, 8, 2.98375, 29.37049
A, 16, 3.17842, 20.29395
A, 32, 4.36365, 15.95965
A, 1, 2.43557, 125.71979
A, 2, 2.78592, 85.49131
A, 4, 2.85493, 47.05554
A, 8, 3.07563, 29.21352
A, 16, 3.74719, 23.06454
A, 32, 4.38709, 15.33688
A, 1, 2.43318, 125.93921
A, 2, 2.78566, 85.48641
A, 4, 2.85288, 46.97198
A, 8, 3.07823, 29.48142
A, 16, 3.17952, 19.51696
A, 32, 4.49758, 15.1854
A, 1, 2.43759, 128.5886
A, 2, 2.7817, 88.98072
A, 4, 2.85076, 49.22971
A, 8, 3.01454, 30.3779
A, 16, 3.16873, 21.05813
A, 32, 4.40698, 16.77932
A, 1, 2.43385, 129.28012
A, 2, 2.78671, 89.17219
A, 4, 2.85317, 48.99678
A, 8, 2.99011, 29.43653
A, 16, 3.70512, 24.19002
A, 32, 4.25943, 15.31011
A, 1, 2.43349, 129.26875
A, 2, 2.78607, 88.97285
A, 4, 2.85409, 48.99377
A, 8, 2.98616, 29.41462
A, 16, 3.15143, 20.52567
A, 32, 4.50684, 15.97905
A, 1, 2.43694, 130.56175
A, 2, 2.7916, 89.33399
A, 4, 2.8531, 49.06317
A, 8, 3.10789, 31.04704
A, 16, 3.1672, 20.49053
A, 32, 4.38601, 15.97214
A, 1, 2.44095, 129.03694
A, 2, 2.78716, 89.41106
A, 4, 2.83454, 48.99001
A, 8, 2.96558, 29.74492
A, 16, 3.7228, 24.77484
A, 32, 4.51136, 16.37698
A, 1, 2.43327, 133.60161
A, 2, 2.78648, 89.40933
A, 4, 2.83739, 49.04052
A, 8, 2.98231, 30.0336
A, 16, 3.15615, 21.11457
A, 32, 4.29092, 15.7785
A, 1, 2.43786, 128.92575
A, 2, 2.78817, 89.5499
A, 4, 2.83565, 48.95494
A, 8, 3.10862, 31.1493
A, 16, 3.17678, 21.04429
A, 32, 4.37621, 16.10169
A, 1, 2.4338, 129.66621
A, 2, 2.78717, 89.01104
A, 4, 2.85257, 49.02229
A, 8, 2.98569, 29.53024
A, 16, 3.71003, 23.92769
A, 32, 4.40778, 16.88137
A, 1, 2.43357, 129.78047
A, 2, 2.89337, 93.00999
A, 4, 2.83553, 48.72004
A, 8, 2.99044, 29.40854
A, 16, 3.19687, 20.56026
A, 32, 4.51585, 16.292
A, 1, 2.43441, 129.59703
A, 2, 2.78157, 88.31945
A, 4, 2.85194, 48.96776
A, 8, 2.99135, 29.48588
A, 16, 3.72471, 23.99191
A, 32, 4.40782, 15.51899
A, 1, 2.43789, 129.0985
A, 2, 2.77843, 89.27518
A, 4, 2.85221, 49.2951
A, 8, 2.95292, 31.03532
A, 16, 3.71177, 24.84611
A, 32, 4.42576, 17.31153
A, 1, 2.43126, 128.71608
A, 2, 2.7864, 89.54192
A, 4, 2.85043, 49.18377
A, 8, 2.95015, 31.08627
A, 16, 3.19431, 21.00181
A, 32, 4.38359, 16.4321
A, 1, 2.43661, 128.61488
A, 2, 2.79432, 89.56754
A, 4, 2.8523, 49.30673
A, 8, 2.94766, 31.18729
A, 16, 3.74622, 24.83716
A, 32, 4.50093, 16.75653
A, 1, 2.43969, 130.58408
A, 2, 2.78057, 88.42794
A, 4, 2.85171, 48.65039
A, 8, 2.99221, 29.84993
A, 16, 3.69672, 24.11121
A, 32, 4.4147, 15.86722
A, 1, 2.43573, 144.35443
A, 2, 2.7795, 100.42213
A, 4, 2.85231, 56.68373
A, 8, 2.96918, 35.08367
A, 16, 3.20532, 25.46423
A, 32, 4.41782, 19.65939
A, 1, 2.43394, 148.17418
A, 2, 2.78755, 101.28321
A, 4, 2.86035, 56.81713
A, 8, 3.09204, 36.5685
A, 16, 3.66328, 28.85146
A, 32, 4.39141, 20.07211
A, 1, 2.43387, 144.02104
A, 2, 2.78574, 101.07973
A, 4, 2.85346, 56.91814
A, 8, 3.04597, 36.19926
A, 16, 3.73403, 29.61337
A, 32, 4.40595, 20.07297
A, 1, 2.43808, 130.77641
A, 2, 2.7848, 89.15698
A, 4, 2.85224, 49.1098
A, 8, 2.98145, 29.57248
A, 16, 3.69202, 23.76
A, 32, 4.38833, 16.09034
A, 1, 2.43068, 125.36272
A, 2, 2.78507, 86.08112
A, 4, 2.85297, 47.23871
A, 8, 2.98112, 28.26838
A, 16, 3.71466, 22.89039
A, 32, 4.40377, 15.69502
A, 1, 2.43826, 129.16849
A, 2, 2.77938, 89.73799
A, 4, 2.83694, 49.08294
A, 8, 2.98943, 31.00955
A, 16, 3.71539, 24.91193
A, 32, 4.36784, 16.34558
A, 1, 2.43489, 149.30672
A, 2, 2.78437, 101.02267
A, 4, 2.86542, 56.74543
A, 8, 2.98095, 35.94805
A, 16, 3.75451, 29.64633
A, 32, 4.38472, 19.52084
A, 1, 2.43608, 149.85533
A, 2, 2.7856, 101.73194
A, 4, 2.83774, 56.3643
A, 8, 2.93999, 35.01564
A, 16, 3.21254, 25.54417
A, 32, 4.49679, 19.61587
A, 1, 2.43077, 125.43059
A, 2, 2.78814, 86.19266
A, 4, 2.83773, 47.02644
A, 8, 2.98767, 28.30467
A, 16, 3.33948, 20.48942
A, 32, 4.42234, 16.58828
A, 1, 2.43483, 134.23224
A, 2, 2.7865, 89.68079
A, 4, 2.86165, 49.90822
A, 8, 2.98934, 29.71461
A, 16, 3.73931, 24.58817
A, 32, 4.41617, 17.36921
