CLASS, THREADS, SECONDS, ENERGY
B, 1, 10.00441, 523.86005
B, 2, 10.93581, 345.22385
B, 4, 11.58866, 196.59062
B, 8, 12.34763, 120.88268
B, 16, 12.87452, 82.59546
B, 32, 18.46755, 64.34511
B, 1, 10.00709, 517.91946
B, 2, 10.93633, 347.38836
B, 4, 11.58927, 198.30934
B, 8, 12.38031, 122.99518
B, 16, 12.93713, 84.93616
B, 32, 18.32644, 65.27281
B, 1, 10.28982, 542.12313
B, 2, 10.94122, 347.28929
B, 4, 11.55763, 197.31557
B, 8, 12.3536, 121.20629
B, 16, 12.94035, 83.1595
B, 32, 18.31354, 63.95368
B, 1, 10.12266, 532.92059
B, 2, 11.15326, 355.11805
B, 4, 11.55493, 197.21435
B, 8, 12.32468, 121.10372
B, 16, 12.93941, 82.69226
B, 32, 18.75945, 69.11175
B, 1, 10.01682, 513.8049
B, 2, 10.95258, 336.8435
B, 4, 11.50606, 189.15262
B, 8, 12.37083, 116.40533
B, 16, 12.93774, 79.50291
B, 32, 18.47116, 62.02661
B, 1, 9.99666, 522.35534
B, 2, 10.97868, 351.81633
B, 4, 11.57542, 199.8293
B, 8, 12.37563, 123.644
B, 16, 13.00894, 84.97778
B, 32, 18.32298, 65.48605
B, 1, 9.99849, 521.79615
B, 2, 10.96271, 351.53385
B, 4, 11.57281, 200.02193
B, 8, 12.37936, 124.04034
B, 16, 12.93332, 85.3506
B, 32, 18.60108, 67.55136
B, 1, 10.15785, 535.76906
B, 2, 10.93689, 349.91127
B, 4, 11.47613, 195.61137
B, 8, 12.38201, 122.1153
B, 16, 12.9359, 83.32676
B, 32, 18.33681, 64.44459
B, 1, 10.13563, 537.09568
B, 2, 10.94292, 349.93745
B, 4, 11.54397, 197.79162
B, 8, 12.38343, 122.07164
B, 16, 12.93671, 83.35665
B, 32, 18.33577, 64.15798
B, 1, 10.11455, 535.8571
B, 2, 10.9304, 348.94207
B, 4, 11.55493, 197.79565
B, 8, 12.3482, 121.88249
B, 16, 12.93838, 83.42864
B, 32, 18.32493, 64.34047
B, 1, 10.14509, 551.80313
B, 2, 10.94044, 349.88189
B, 4, 11.60307, 199.86468
B, 8, 12.37608, 124.05027
B, 16, 12.87647, 85.35554
B, 32, 18.09095, 64.53008
B, 1, 10.1242, 550.19487
B, 2, 11.20167, 359.47802
B, 4, 11.523, 198.41631
B, 8, 12.36966, 124.35946
B, 16, 12.94057, 85.71409
B, 32, 18.32278, 65.62995
B, 1, 10.03583, 524.60626
B, 2, 11.1736, 359.8733
B, 4, 11.50688, 197.79115
B, 8, 12.38363, 124.48099
B, 16, 12.93916, 85.50495
B, 32, 18.20801, 65.00921
B, 1, 10.15638, 536.48901
B, 2, 11.14595, 358.08187
B, 4, 11.57263, 197.65631
B, 8, 12.3469, 122.14313
B, 16, 12.87471, 83.24856
B, 32, 18.39211, 65.97039
B, 1, 9.96276, 534.23426
B, 2, 10.92291, 347.5753
B, 4, 11.49174, 196.40995
B, 8, 12.35246, 121.17591
B, 16, 12.93301, 83.47515
B, 32, 18.35326, 64.67163
B, 1, 10.1129, 537.22531
B, 2, 10.93882, 349.76026
