CLASS, THREADS, SECONDS, ENERGY
C, 1, 41.3156, 2117.21578
C, 2, 45.77022, 1409.45436
C, 4, 48.84605, 806.7303
C, 8, 50.65131, 480.07768
C, 16, 54.52188, 338.90461
C, 32, 81.60842, 276.2646
C, 1, 42.39772, 2553.1081
C, 2, 46.33976, 1657.44387
C, 4, 48.39058, 946.21022
C, 8, 50.52294, 588.79822
C, 16, 54.60021, 432.78521
C, 32, 81.29981, 350.01629
C, 1, 41.92014, 2287.55899
C, 2, 46.55595, 1493.56976
C, 4, 48.56182, 845.93218
C, 8, 50.72447, 508.50199
C, 16, 54.86352, 364.98375
C, 32, 81.17184, 293.47817
C, 1, 42.17281, 2272.44905
C, 2, 48.49442, 1557.71221
C, 4, 48.69324, 835.87171
C, 8, 50.51336, 499.79685
C, 16, 54.654, 355.18001
C, 32, 81.60819, 290.07341
C, 1, 42.22972, 2522.49598
C, 2, 45.86079, 1661.46748
C, 4, 48.73247, 967.68023
C, 8, 50.47826, 591.49776
C, 16, 54.55888, 436.36263
C, 32, 81.38247, 353.10398
C, 1, 41.59043, 2206.46547
C, 2, 45.79397, 1417.45262
C, 4, 48.85661, 809.13823
C, 8, 50.35372, 475.97224
C, 16, 54.62181, 340.72257
C, 32, 81.95063, 279.11845
C, 1, 41.82181, 2269.7571
C, 2, 46.44319, 1497.21653
C, 4, 48.62909, 841.9835
C, 8, 50.66458, 509.94815
C, 16, 54.40391, 362.62775
C, 32, 81.58823, 294.90161
C, 1, 42.43311, 2622.69721
C, 2, 46.35513, 1672.30228
C, 4, 48.43222, 965.57717
C, 8, 50.66495, 598.40539
C, 16, 54.57897, 437.60806
C, 32, 81.32599, 354.77482
C, 1, 41.93202, 2263.74548
C, 2, 46.33659, 1435.10909
C, 4, 48.2956, 800.38356
C, 8, 50.56828, 478.81594
C, 16, 54.61956, 340.11292
C, 32, 81.24882, 275.61397
C, 1, 42.45174, 2312.90042
C, 2, 46.33144, 1486.21716
C, 4, 48.69929, 838.24095
C, 8, 50.52348, 499.98177
C, 16, 54.54248, 354.42193
C, 32, 81.09793, 286.9789
C, 1, 42.53709, 2664.93128
C, 2, 45.80959, 1660.88956
C, 4, 48.28587, 963.44821
C, 8, 50.67329, 598.67326
C, 16, 54.77374, 441.06313
C, 32, 81.68197, 357.99855
C, 1, 41.73172, 2210.83231
C, 2, 45.74482, 1413.34184
C, 4, 48.55629, 803.77362
C, 8, 50.60946, 481.36663
C, 16, 54.52697, 339.24207
C, 32, 80.88131, 273.51404
C, 1, 41.78803, 2277.70121
C, 2, 46.4521, 1496.92988
C, 4, 48.80724, 845.79833
C, 8, 50.60333, 511.68393
C, 16, 54.61963, 364.90079
C, 32, 81.43887, 295.11479
C, 1, 42.44172, 2578.01956
C, 2, 45.7487, 1658.00563
C, 4, 48.31126, 964.23595
C, 8, 50.51592, 596.69787
C, 16, 54.64704, 440.45375
C, 32, 81.44134, 355.02051
C, 1, 42.35653, 2212.84774
C, 2, 46.40092, 1437.32911
C, 4, 48.19471, 799.86263
C, 8, 50.62749, 481.05964
C, 16, 54.42298, 338.6095
C, 32, 81.84766, 278.99581
